"SampleID","EndpointCategory","EndpointName","EndpointValue","EndpointValue Unit Ontology","EndpointValue Unit Ontology Entry","WellQ"
"waid14952acid101","Apo Necro (casp37)","Caspase 3/7 intensity",137.140397810129,"","",1
"waid14954acid101","Apo Necro (casp37)","Caspase 3/7 intensity",102.587311873511,"","",1
"waid14955acid101","Apo Necro (casp37)","Caspase 3/7 intensity",109.052807121024,"","",1
"waid14956acid101","Apo Necro (casp37)","Caspase 3/7 intensity",122.285295379049,"","",1
"waid14957acid101","Apo Necro (casp37)","Caspase 3/7 intensity",135.974725359617,"","",1
"waid14958acid101","Apo Necro (casp37)","Caspase 3/7 intensity",88.8403119604246,"","",1
"waid14947acid101","Apo Necro (casp37)","Caspase 3/7 intensity",124.270930071027,"","",1
"waid14948acid101","Apo Necro (casp37)","Caspase 3/7 intensity",123.160122326167,"","",1
"waid14949acid101","Apo Necro (casp37)","Caspase 3/7 intensity",118.903680335748,"","",1
"waid15070acid101","Apo Necro (casp37)","Caspase 3/7 intensity",188.604262365017,"","",1
"waid15067acid101","Apo Necro (casp37)","Caspase 3/7 intensity",163.071375597912,"","",1
"waid15068acid101","Apo Necro (casp37)","Caspase 3/7 intensity",165.52828527719,"","",1
"waid15069acid101","Apo Necro (casp37)","Caspase 3/7 intensity",147.000723309156,"","",1
"waid15071acid101","Apo Necro (casp37)","Caspase 3/7 intensity",163.097424589684,"","",1
"waid15072acid101","Apo Necro (casp37)","Caspase 3/7 intensity",185.362959164657,"","",1
"waid15061acid101","Apo Necro (casp37)","Caspase 3/7 intensity",208.782058629532,"","",1
"waid15062acid101","Apo Necro (casp37)","Caspase 3/7 intensity",206.249950735433,"","",1
"waid15063acid101","Apo Necro (casp37)","Caspase 3/7 intensity",211.518300418636,"","",1
"waid15064acid101","Apo Necro (casp37)","Caspase 3/7 intensity",193.467031830622,"","",1
"waid15065acid101","Apo Necro (casp37)","Caspase 3/7 intensity",179.764007583374,"","",1
"waid15066acid101","Apo Necro (casp37)","Caspase 3/7 intensity",192.625963189011,"","",1
"waid14581acid101","Apo Necro (casp37)","Caspase 3/7 intensity",172.697767551079,"","",1
"waid14590acid101","Apo Necro (casp37)","Caspase 3/7 intensity",155.080307422684,"","",1
"waid14591acid101","Apo Necro (casp37)","Caspase 3/7 intensity",126.280158768371,"","",1
"waid14592acid101","Apo Necro (casp37)","Caspase 3/7 intensity",175.78369068862,"","",1
"waid14582acid101","Apo Necro (casp37)","Caspase 3/7 intensity",149.369283734518,"","",1
"waid14583acid101","Apo Necro (casp37)","Caspase 3/7 intensity",193.876150964352,"","",1
"waid14584acid101","Apo Necro (casp37)","Caspase 3/7 intensity",203.806245577907,"","",1
"waid14585acid101","Apo Necro (casp37)","Caspase 3/7 intensity",188.259823468277,"","",1
"waid14586acid101","Apo Necro (casp37)","Caspase 3/7 intensity",191.972866317764,"","",1
"waid14587acid101","Apo Necro (casp37)","Caspase 3/7 intensity",204.367671690936,"","",1
"waid14588acid101","Apo Necro (casp37)","Caspase 3/7 intensity",213.626905064048,"","",1
"waid14589acid101","Apo Necro (casp37)","Caspase 3/7 intensity",178.101138863069,"","",1
"waid14593acid105","Apo Necro (casp37)","Cell membrane permeability",380.430748794242,"","",1
"waid14596acid105","Apo Necro (casp37)","Cell membrane permeability",390.418852057098,"","",1
"waid14599acid105","Apo Necro (casp37)","Cell membrane permeability",415.251615545405,"","",1
"waid14594acid105","Apo Necro (casp37)","Cell membrane permeability",406.184715268745,"","",1
"waid14597acid105","Apo Necro (casp37)","Cell membrane permeability",405.679911089241,"","",1
"waid14600acid105","Apo Necro (casp37)","Cell membrane permeability",420.414853120962,"","",1
"waid14595acid105","Apo Necro (casp37)","Cell membrane permeability",403.337346115644,"","",1
"waid14598acid105","Apo Necro (casp37)","Cell membrane permeability",390.023895205611,"","",1
"waid14601acid105","Apo Necro (casp37)","Cell membrane permeability",234.88950944231,"","",1
"waid14691acid105","Apo Necro (casp37)","Cell membrane permeability",261.107998547236,"","",1
"waid14694acid105","Apo Necro (casp37)","Cell membrane permeability",208.007193737676,"","",1
"waid14697acid105","Apo Necro (casp37)","Cell membrane permeability",246.248031485413,"","",1
"waid14692acid105","Apo Necro (casp37)","Cell membrane permeability",297.36625558276,"","",1
"waid14695acid105","Apo Necro (casp37)","Cell membrane permeability",167.35903669195,"","",1
"waid14689acid105","Apo Necro (casp37)","Cell membrane permeability",222.872922663749,"","",1
"waid14693acid105","Apo Necro (casp37)","Cell membrane permeability",243.44063031655,"","",1
"waid14696acid105","Apo Necro (casp37)","Cell membrane permeability",170.891507069479,"","",1
"waid14690acid105","Apo Necro (casp37)","Cell membrane permeability",399.675886691286,"","",1
"waid14785acid105","Apo Necro (casp37)","Cell membrane permeability",423.649662399373,"","",1
"waid14788acid105","Apo Necro (casp37)","Cell membrane permeability",341.693142006862,"","",1
"waid14791acid105","Apo Necro (casp37)","Cell membrane permeability",266.250016413343,"","",1
"waid14786acid105","Apo Necro (casp37)","Cell membrane permeability",431.717925569186,"","",1
"waid14789acid105","Apo Necro (casp37)","Cell membrane permeability",328.860353603625,"","",1
"waid14792acid105","Apo Necro (casp37)","Cell membrane permeability",294.568174133583,"","",1
"waid14787acid105","Apo Necro (casp37)","Cell membrane permeability",384.70032988232,"","",1
"waid14790acid105","Apo Necro (casp37)","Cell membrane permeability",318.936657938847,"","",1
"waid14793acid105","Apo Necro (casp37)","Cell membrane permeability",279.822712999173,"","",1
"waid14884acid105","Apo Necro (casp37)","Cell membrane permeability",356.524431819292,"","",1
"waid14887acid105","Apo Necro (casp37)","Cell membrane permeability",277.927371776593,"","",1
"waid14881acid105","Apo Necro (casp37)","Cell membrane permeability",116.796292525916,"","",1
"waid14885acid105","Apo Necro (casp37)","Cell membrane permeability",245.976868134471,"","",1
"waid14888acid105","Apo Necro (casp37)","Cell membrane permeability",290.237101816275,"","",1
"waid14882acid105","Apo Necro (casp37)","Cell membrane permeability",238.514985774794,"","",1
"waid14886acid105","Apo Necro (casp37)","Cell membrane permeability",369.428221954752,"","",1
"waid14889acid105","Apo Necro (casp37)","Cell membrane permeability",220.058581955429,"","",1
"waid14883acid105","Apo Necro (casp37)","Cell membrane permeability",334.808289290893,"","",1
"waid14983acid105","Apo Necro (casp37)","Cell membrane permeability",402.686254259663,"","",1
"waid14977acid105","Apo Necro (casp37)","Cell membrane permeability",406.45126665596,"","",1
"waid14980acid105","Apo Necro (casp37)","Cell membrane permeability",165.270964197529,"","",1
"waid14984acid105","Apo Necro (casp37)","Cell membrane permeability",467.551554401421,"","",1
"waid14978acid105","Apo Necro (casp37)","Cell membrane permeability",389.827923174291,"","",1
"waid14981acid105","Apo Necro (casp37)","Cell membrane permeability",424.716951030608,"","",1
"waid14985acid105","Apo Necro (casp37)","Cell membrane permeability",481.933483518586,"","",1
"waid14979acid105","Apo Necro (casp37)","Cell membrane permeability",415.018213049338,"","",1
"waid14982acid105","Apo Necro (casp37)","Cell membrane permeability",396.673043735011,"","",1
"waid14497acid105","Apo Necro (casp37)","Cell membrane permeability",362.624386017272,"","",1
"waid14500acid105","Apo Necro (casp37)","Cell membrane permeability",242.851743727529,"","",1
"waid14503acid105","Apo Necro (casp37)","Cell membrane permeability",263.304870610376,"","",1
"waid14498acid105","Apo Necro (casp37)","Cell membrane permeability",409.005592286725,"","",1
"waid14501acid105","Apo Necro (casp37)","Cell membrane permeability",170.293696343799,"","",1
"waid14504acid105","Apo Necro (casp37)","Cell membrane permeability",321.111399054661,"","",1
